patent_no,title,
6543678,Method of brazing beryllium-aluminum alloy members to form a beryllium-aluminum alloy assembly and coating the beryllium-aluminum alloy assembly,
6543333,Enriched cobalt-tin swashplate coating alloy,
6543224,System and method for controlling shape memory alloy actuators,
6543122,Process for producing thick sheet from direct chill cast cold rolled aluminum alloy,
6540811,"Method of producing alloy powders, alloy powders obtained by said method, and products applying said powders",
6540007,Molding process for the mass production of aluminum alloy castings and associated items of equipment,
6537393,High temperature thermal processing alloy,
6537392,Corrosion resistant 6000 series alloy suitable for aerospace applications,
6537388,Surface alloy system conversion for high temperature applications,
6537387,Corrosion protection for galvanized and alloy galvanized steel strips,
6534191,Sintered alloy and method for the hardening treatment thereof,
6533875,Protecting a surface of a nickel-based article with a corrosion-resistant aluminum-alloy layer,
6531092,Master alloy for modification and grain refining of hypoeutectic and eutectic Al-Si foundry alloys,
6531091,Muffler made of a titanium alloy,
6531089,Alloy and method for producing objects therefrom,
6531013,Adhesive bonding process for aluminum alloy bodies including hypophosphorous acid anodizing,
6531006,Production of high strength aluminum alloy foils,
6531004,"Weldable anti-corrosive aluminium-magnesium alloy containing a high amount of magnesium, especially for use in aviation",
6531003,"Abrasion resistant copper alloy, copper alloy powder for build-up cladding, and engine cylinder head",
6530998,Formed article of amorphous alloy having hardened surface and method for production thereof,
6528929,Spark plug with iridium-based alloy chip,
6528860,Resistor with resistance alloy plate having roughened interface surface,
6528424,Method of electroplating a copper-zinc alloy thin film on a copper surface using a chemical solution,
6528185,"Cobalt-tungsten-phosphorus alloy diffusion barrier coatings, methods for their preparation, and their use in plated articles",
6528184,Cobalt-molybdenum-phosphorus alloy diffusion barrier coatings,
6528183,Clad aluminum alloy sheet for aircraft structural parts,
6528012,Welded structure made of low thermal expansion coefficient alloy and welding material therefore,
6527881,Method for producing a tin-nickel alloy film,
6527877,Iron-based alloy containing bonded and free carbon and method of manufacturing the same,
6527840,Silver alloy plating bath and method of forming a silver alloy film by means of the same,
6527822,Quenched thin ribbon of rare earth/iron/boron-based magnet alloy,
6527372,Method for optimizing driving input signal in an ink jet head using shape memory alloy,
6525404,"Moisture corrosion inhibitor layer for Al-alloy metallization layers, particularly for electronic devices and corresponding manufacturing method",
6524746,Hydrogen absorbing alloy powder and process for producing same,
6524725,Enameled steel and process for enameling a zinc or zinc-alloy precoated steel surface,
6524410,Method for producing high strength aluminum alloy welded structures,
6524409,Method for hot isostatic pressing and heat treatment of light alloy castings,
6524407,Alloy based on titanium aluminides,
6524406,Shape memory alloy,
6524405,Iron base high temperature alloy,
6524365,Bearing made of graphite-dispersed copper-based sintered alloy and motorized fuel pump using this bearing,
6524169,Method for manufacture of tubes of a zirconium-based alloy,
6523605,Heat exchanger made of an aluminum alloy,
6521909,Thin film semiconductor device containing polycrystalline Si-Ge alloy and method for producing thereof,
6521176,Lead-free solder alloy and a manufacturing process of electric and electronic apparatuses using such a lead-free solder alloy,
6521115,Nickel-iron alloy-based anodes for aluminium electrowinning cells,
6521062,Wrought processing of brittle target alloy for sputtering applications,
6521058,High-strength high-toughness amorphous zirconium alloy,
6521046,Chamber material made of Al alloy and heater block,
6520868,Golf club head of steel alloy,
6519852,Method of manufacturing an aluminum alloy wheel rim,
6518505,Ultrafine copper alloy wire and process for producing the same,
6518185,Integration scheme for non-feature-size dependent cu-alloy introduction,
6517970,Non-pyrophoric hydrogen storage alloy,
6517965,Platinum-ruthenium-nickel alloy for use as a fuel cell catalyst,
6517955,High strength galvanized steel plate excellent in adhesion of plated metal and formability in press working and high strength alloy galvanized steel plate and method for production thereof,
6517954,"Aluminium alloy, notably for a layer",
6517646,Method for manufacturing very thin aluminum-iron alloy strips,
6517556,Shape memory alloy clip and method of use thereof,
6516869,Mould structure for producing light metal alloy casts and a low pressure precision casting method in a semi permanent mould,
6516146,Actuator using shape memory alloy and method for controlling the same,
6515074,Thermoplastic polymer alloy compositions and process for manufacture thereof,
6514456,Cutting metal alloy for shaping by electrical discharge machining methods,
6514360,Method for manufacturing a tube and a sheet of niobium-containing zirconium alloy for a high burn-up nuclear fuel,
6513239,Method of fabricating an alloy film on a face of a heat exchanger for an integrated circuit,
6511633,Free-machinable eutectic Al-Si alloy,
6511560,"Thin, forged magnesium alloy casing and method for producing same",
6511045,Ti alloy poppet valve and a method of manufacturing the same,
6508927,Tin-copper alloy electroplating bath,
6508893,Method of manufacturing Fe-Ni alloy,
6508892,Fe-Ni alloy shadow mask blank with excellent etch perforation properties and method for manufacturing the same,
6508891,Method of manufacturing hydrogen-absorbing alloy electrode,
6508162,Dual alloy piston and method of manufacture,
6507091,Transistor with indium-implanted SiGe alloy and processes for fabricating the same,
6506503,"Friction bearing having an intermediate layer, notably binding layer, made of an alloy on aluminium basis",
6506448,Method of protective coating BGA solder alloy spheres,
6506269,"High-strength and high-conductivity Cu-(Ni, Co, Fe)-Si copper alloy for use in leadframes and method of making the same",
6506268,High toughness amorphous alloy strip and production thereof,
6506267,Personal ornament and silver alloy for personal ornament,
6506228,Method of preparing platinum alloy electrode catalyst for direct methanol fuel cell using anhydrous metal chloride,
6505394,"Method for cutting rare earth alloy, method for manufacturing rare earth alloy plates and method for manufacturing rare earth alloy magnets using wire saw, and voice coil motor",
6503446,Corrosion and grain growth resistant aluminum alloy,
6503348,Method of making a metal membrane foil made of a palladium alloy for hydrogen separation,
6502296,Method of fabricating a light-shielding blade composed of beryllium-aluminum alloy,
6500327,Sn-Bi alloy plating bath and method of plating using the same,
6500281,Fe-Ni alloy material used for shadow mask having improved formability of through-holes by etching,
6500226,Method and apparatus for fabrication of cobalt alloy composite inserts,
6499952,Shape memory alloy device and control method,
6498952,Hermetically sealed feedthrough connector using shape memory alloy for implantable medical device,
6497242,Multiple-fold umbrella rib assembly having inner ribs of aluminum alloy and outer ribs of carbon-fiber-reinforced plastics,
6496337,Copper alloy GMR recording head,
6495267,Anodized magnesium or magnesium alloy piston and method for manufacturing the same,
6494968,"Lamellar rare earth-iron-boron-based magnet alloy particles, process for producing the same and bonded magnet produced therefrom",
6492735,Semiconductor device with alloy film between barrier metal and interconnect,
6491867,High capacity and high performance Zr-based hydrogen storage alloy for secondary cells,
6491769,Ni-Co-Cr high temperature strength and corrosion resistant alloy,
6491291,Suspension characteristic control using shape memory alloy materials,
6490131,Thin film magnetic head with electroplated Ni-Fe alloy thin film having small average crystal grain size range,
6488790,Method of making a high-strength low-alloy hot rolled steel,
6488073,Method of adding boron to a heavy metal containing titanium aluminide alloy and a heavy metal containing titanium aluminide alloy,
6486073,Method for stripping a photo resist on an aluminum alloy,
6485682,Hardened aluminum alloy for use in the manufacture of printed circuit boards,
6485584,"Method of manufacturing a ferritic-martensitic, oxide dispersion strengthened alloy",
6485583,Aluminium-lithium alloy,
6485542,"Ni-Fe alloy sputtering target for forming magnetic thin films, magnetic thin film, and method of manufacturing the Ni-Fe alloy sputtering target",
6485539,Method of ALNIKO alloy melting,
6485411,Endoscope shaft with superelastic alloy spiral frame and braid,
6485242,Construction for closing a through hole in a magnesium alloy case,
6484848,Continuous rotary actuator using shape memory alloy,
6482528,Nickel-base alloy product and method of producing the same,
6482476,"Low temperature plasma enhanced CVD ceramic coating process for metal, alloy and ceramic materials",
6482355,Wedlable nickel aluminide alloy,
6482298,Apparatus for electroplating alloy films,
6482277,Method of manufacturing hydrogen-absorbing alloy electrode,
6482276,"Copper alloy with punchability, and a manufacturing method thereof",
6481993,Process and apparatus for supplying rare earth metal-based alloy powder,
6481821,Actuator for ink jet printer head using shape memory alloy,
6481804,Light alloy rim with a front covering element in stainless steel and its production method,
6479168,Alloy based laser welding,
6478944,Functional Sn-Bi alloy plating using a substitute material for Pb,
6478897,Heat-resistant alloy wire,
6478895,Nickel-titanium sputter target alloy,
6478889,Iron-base alloy permanent magnet powder and method for producing the same,
6478853,"Amorphous Ni alloy membrane for separation/dissociation of hydrogen, preparing method and activating method thereof",
6478844,Method for making hydrogen storage alloy,
6478214,Method for assembling by diffusion welding a martensite stainless steel and a copper alloy and resulting bimetal element,
6478076,Mechanical assembly for fabricating an alloy film on a face of a heat exchanger for an integrated circuit,
6476494,Silver-tin alloy solder bumps,
6476125,"Fluorine-containing polymer alloy, and method for its preparation and method for its molding",
6475671,Hydrogen absorbing alloy electrode and nickel-metal hydride battery,
6475635,"Sliding material made of copper alloy, method of producing same, and sliding bearing",
6475610,Method for coating faying surfaces of aluminum-alloy components and faying surfaces coated thereby,
6475597,Thermoplastic resin-coated aluminum alloy plate and method and apparatus for manufacturing the same,
6475311,Alloy materials,
6475297,Method for forming corrosion resistant coating on an alloy surface,
6475263,Silicon aluminum alloy of prealloyed powder and method of manufacture,
6475261,NiMnGa alloy with a controlled finish point of the reverse transformation and shape memory effect,
6474537,Soldering method using a Cu-containing lead-free alloy,
6472102,Hydridable alloy,
6471797,Quasicrystalline phase-reinforced Mg-based metallic alloy with high warm and hot formability and method of making the same,
6471796,Method and apparatus for continuous casting of aluminum bearing alloy,
6471789,Amorphous metal alloy strip,
6471583,Method of machining rare earth alloy and method of fabricating rare earth magnet using the same,
6469388,Structure for contact formation using a silicon-germanium alloy,
6468908,Al-Cu alloy sputtering method with post-metal quench,
6468368,High strength powder metallurgy nickel base alloy,
6465113,Aluminum alloy brazing sheet for a heat exchanger,
6464844,Sputtering alloy films using a sintered metal composite target,
6464805,Aluminum alloy plate excelling in filiform corrosion resistance and method of fabricating same,
6464200,Shape memory alloy actuated fluid control valve,
6463991,Iron alloy casting method and apparatus,
6462802,Liquid crystal display device having wiring layer made of nitride of Nb or nitride alloy containing Nb as a main component,
6462417,Coherent alloy diffusion barrier for integrated circuit interconnects,
6461971,Method of residual resist removal after etching of aluminum alloy filmsin chlorine containing plasma,
6461744,"Article based on a metal alloy of nickel, chromium and metalloid elements including microcrystalline precipitates, metal alloy and preparation method",
6461566,Aluminum-based alloy and procedure for its heat treatment,
6461565,Method of pressing rare earth alloy magnetic powder,
6461485,Sputtering method for forming an aluminum or aluminum alloy fine wiring pattern,
6461454,Aluminum alloy plate for automobile and manufacturing method thereof,
6460939,Light alloy bicycle rim,
6460754,Prevention of braze alloy flow and stopoff material therefor,
6459195,Fe-Cr-Ni alloy electron gun electroded and Fe-Cr-Ni alloy sheet for electron gun electrodes,
6458318,Heat resistant nickel base alloy,
6458264,Sn-Cu alloy plating bath,
6458223,Alloy materials,
6458180,Amalgamatable dental alloy powder having an effect of reducing initial mercury vapor release rate,
6457632,Solder alloy and bonding method of substrate and electric or electronic parts with solder alloy,
6455195,Hydrogen absorbing alloy electrodes and nickel-metal hydride batteries using the same,
6454992,Oxidation resistant and low coefficient of thermal expansion NiA1-CoCrAly alloy,
6454913,Process for deposition of sputtered shape memory alloy films,
6454885,Nickel diffusion braze alloy and method for repair of superalloys,
6454882,Titanium alloy having enhanced notch toughness,
6454832,Aluminium alloy semi-finished product manufacturing process using recycled raw materials,
6453977,Metal mold for manufacturing amorphous alloy and molded product of amorphous alloy,
6451453,Aluminum alloy strip or tube for the manufacture of brazed heat exchangers,
6451450,Method of depositing a protective layer over a biaxially textured alloy substrate and composition therefrom,
6450583,Method of manufacturing cold formed light alloy automotive wheel rim,
6449436,Aperture adjustment using shaped memory alloy,
6449434,Lens displacement or other control using shaped memory alloy driver,
6447933,Formation of alloy material using alternating depositions of alloy doping element and bulk material,
6447716,Welding electrode made of a nickel-based alloy and the corresponding alloy,
6447624,Manufacturing process of nickel-based alloy having improved hot sulfidation-corrosion resistance,
6447618,Magnetic acicular alloy particles containing iron as a main component,
6447478,Thin-film shape memory alloy actuators and processing methods,
6444562,Nickel alloy films for reduced intermetallic formation in solder,
6444362,Hydrogen absorbing alloy powder and process for producing same,
6444361,Active material for hydrogen storage alloy electrode and method for producing the same,
6444304,Anodic oxide layer and ceramic coating for aluminum alloy excellent in resistance to gas and plasma corrosion,
6444059,Product for a welded construction made of AlMgMn alloy having improved mechanical strength,
6444058,High toughness plate alloy for aerospace applications,
6444048,Alloy for use in preparation of R-T-B-based sintered magnet and process for preparing R-T-B-based sintered magnet,
6444009,Method for producing environmentally stable reactive alloy powders,
6443648,Ballpoint pen with a ball bearing of shape memory alloy,
6443143,Method and apparatus for cutting rare earth alloy,
6440583,Aluminum alloy for a welded construction and welded joint using the same,
6440360,Pb-free soldering alloy,
6440359,Al-Mg-Si alloy with good extrusion properties,
6440208,Alloy color effect materials and production thereof,
6439451,Method of making aluminum alloy plate for bearing,
6439295,Process for manufacturing a strip of aluminum alloy for lithographic printing plates,
6436546,Method for coating foil comprised of nickel or nickel alloy,
6436539,Corrosion-resistant zinc alloy powder and method of manufacturing,
6436338,Iron-based alloy for internal combustion engine valve seat inserts,
6436223,Process and apparatus for improved module assembly using shape memory alloy springs,
6436206,Copper alloy and process for obtaining same,
6435263,Agitated continuous casting process for aluminum alloy,
6434932,Control mechanism with actuator employing shape memory alloy and method for adjusting servo control of the control mechanism,
6434333,Driving mechanism using shape-memory alloy,
6433434,Apparatus having a titanium alloy layer,
6433402,Selective copper alloy deposition,
6432556,Copper alloy with a golden visual appearance,
6432308,Filter element with porous nickel-based alloy substrate and metal oxide membrane,
6432158,Method and apparatus for producing compact of rare earth alloy powder and rare earth magnet,
6432142,"Mold for uniform pressing of substrate side faces, and artificial bone of titanium alloy having high biological affinity",
6428932,Zinc alloy powder and alkaline battery using the same,
6428909,Aluminum alloy member and production method thereof,
6428672,Apparatus and method for manufacturing Ni--Fe alloy thin foil,
6428634,Ni-Ti-Nb alloy processing method and articles formed from the alloy,
6428618,Method for forming a solid solution alloy crystal,
6428112,Covering of vehicle tires withlight-alloy rims during prolonged transportation,
6427712,Ambient temperature shape memory alloy actuator,
6426040,Si(Ge)-Cu-V steel alloy,
6426038,Universal alloy steel,
6425960,"Soft magnetic alloy strip, magnetic member using the same, and manufacturing method thereof",
6425343,Shape memory alloy thermal exposure monitor,
6424046,Substrate for manufacturing a semiconductor device with three element alloy,
6423451,Lead-acid cell and positive plate and alloy therefor,
6423431,Magnetic recording media having improved magnetic and parametric performance with chromium alloy underlayer having added aluminum,
6423163,Process for the manufacture of a free-cutting aluminum alloy,
6420068,Hydrogen storage alloy electrode and method for manufacture thereof,
6420067,"MG-based negative electrode active material, method of manufacturing the same, hydrogen-storage alloy electrode, and alkali secondary battery",
6420042,Fe-based amorphous alloy thin strip with ultrathin oxide layer,
6419878,"Fe-Cr alloy having excellent initial rust resistance, workability and weldability",
6419770,Cold-warm working and heat treatment method of high carbon-high alloy group steel,
6419769,Aluminum-silicon alloy having improved properties at elevated temperatures and process for producing cast articles therefrom,
6419723,Thin ribbon of rare earth-based permanent magnet alloy,
6416884,Aluminium-magnesium weld filler alloy,
6416879,Fe-based amorphous alloy thin strip and core produced using the same,
6416710,High-strength aluminum alloy for pressure casting and cast aluminum alloy comprising the same,
6416648,Method of manufacturing steel sheets coated with Zn-Fe alloy,
6416598,Free machining aluminum alloy with high melting point machining constituent and method of use,
6416596,Cast nickel-base alloy,
6416571,Cyanide-free pyrophosphoric acid bath for use in copper-tin alloy plating,
6413331,Aluminium alloy for use in a brazed assembly,
6413294,"Process for imparting high strength, ductility, and toughness to tungsten heavy alloy (WHA) materials",
6413284,Encapsulated lithium alloy electrodes having barrier layers,
6412465,Ignition device having a firing tip formed from a yttrium-stabilized platinum-tungsten alloy,
6409966,Free machining aluminum alloy containing bismuth or bismuth-tin for free machining and a method of use,
6409906,Electroplating solution for plating antimony and antimony alloy coatings,
6409852,Biocompatible low modulus titanium alloy for medical implant,
6409849,Method of producing hydrogen-absorbing alloy for nickel-hydrogen alkaline storage cell,
6409749,Aneurism patch including distributed activator for a two-dimensional shape memory alloy,
6408840,Method and apparatus for cutting a rare earth alloy,
6408591,Door beam of aluminum alloy,
6406664,Silver germanium alloy,
6406572,"Process for the production of a workpiece from a chromium alloy, and its use",
6406571,Heat treatment of formed aluminum alloy products,
6406568,18-karat green gold alloy compositions,
6406567,Stress relieving of an age hardenable aluminium alloy product,
6406566,"Copper-based alloy having shape memory properties and superelasticity, members made thereof and method for producing same",
6404098,Drive unit using shape memory alloy,
6403230,Method for preparing pre-coated aluminum alloy articles and articles prepared thereby,
6403024,"Hydrogen pulverizer for rare-earth alloy magnetic material powder using the pulverizer, and method for producing magnet using the pulverizer",
6402906,Sputtering alloy films using a crescent-shaped aperture,
6402860,Aluminum alloy and method for manufacturing aluminum-alloy member,
6402859,".beta.-titanium alloy wire, method for its production and medical instruments made by said .beta.-titanium alloy wire",
6402761,Retrieval device made of precursor alloy cable,
6401796,Composite aluminum alloy scroll machine components,
6401779,"Tire with zero-degree, metal reinforcing strap made of a shape-memory alloy",
6401323,Method of producing welded Cu and Cu alloy pipes,
6400552,Capacitor with conductively doped Si-Ge alloy electrode,
6400026,Semiconductor device with the copper containing aluminum alloy bond pad on an active region,
6399020,Aluminum-silicon alloy having improved properties at elevated temperatures and articles cast therefrom,
6398855,Method for depositing copper or a copper alloy,
6398843,Dispersion-strengthened aluminium alloy,
6395424,"Hydrogen absorbing alloy for alkali storage battery, hydrogen absorbing alloy electrode for alkali storage battery, and alkali storage battery",
6395224,Magnesium alloy and method of producing the same,
6395111,Aluminum-based alloy and method for subjecting it to heat treatment,
6395110,"Copper-based alloy excelling in corrosion resistance, method for production thereof, and products made of the copper-based alloy",
6395045,"Hard material titanium carbide based alloy, method for the production and use thereof",
6391929,Process for synthesizing hydrocarbons from synthesis gas in the presence of a raney metal alloy disperded in a liquid phase,
6391450,"Spindle-shaped goethite particles, spindle-shaped hematite particles, spindle-shaped magnetic iron-based alloy particles, and process for producing the same",
6391254,Fe-Cr-Ni alloy for electron gun electrodes,
6391129,Aluminium extrusion alloy,
6391127,Method of manufacturing aluminum alloy sheet,
6390878,Shape memory alloy actuators for toy vehicles,
6387805,Copper alloy seed layer for copper metallization,
6387540,"SACRIFICIAL CORROSION-PROTECTIVE ALUMINUM ALLOY FOR HEAT EXCHANGERS, HIGH CORROSION-RESISTANT ALUMINUM ALLOY COMPOSITE MATERIAL FOR HEAT EXCHANGERS, AND HEAT EXCHANGER USING THE SAID COMPOSITE MATERIAL",
6387536,A1 alloy thin film for semiconductor device electrode and sputtering target to deposit A1 film by sputtering process for semiconductor device electrode,
6387229,Alloy plating,
6387198,Process for producing aluminum alloy substrate for lithographic printing plate,
6387196,Process for producing particle-reinforced titanium alloy,
6387148,Hydrogen absorbing alloy compact for use as the negative electrode of an alkaline rechargeable battery,
6386950,Process for mechanical chemical polishing of layer of aluminium or aluminium alloy conducting material,
6385230,Homogeneous electrode of a reactive metal alloy for vacuum arc remelting and a method for making the same from a plurality of induction melted charges,
6383314,Aluminum alloy sheet having high ultimate tensile strength and methods for making the same,
6383312,Nickel base alloy,
6381830,"Method for cutting rare earth alloy, method for manufacturing rare earth alloy plates and method for manufacturing rare earth alloy magnets using wire saw, and voice coil motor",
6379611,"High strength, low alloy, heat resistant steel",
6379478,Copper based alloy featuring precipitation hardening and solid-solution hardening,
6379477,Fe-Cr-Ni alloy for electron gun electrodes and Fe-Cr-Ni alloy sheet for electron gun electrodes,
6378601,Hydrogen cooled hydrogen storage unit having a high packing density of storage alloy and encapsulation,
"RE37,666",Iron-based permanent magnets and their fabrication as well as iron-based permanent magnet alloy powders for permanent bonded magnets and iron-based bonded magnets,
6375895,"Hardfacing alloy, methods, and products",
6375767,Aluminium alloy and extrusion,
6375766,Nickel-base alloy and article manufactured thereof,
6375708,Alloy for electrical contacts and electrodes and method of making,
6375638,Incremental motion pump mechanisms powered by shape memory alloy wire or the like,
6374608,Shape memory alloy wire actuator,
6372365,Resin-coated Al-Zn alloy coated steel sheet,
6372181,"Low cost, corrosion and heat resistant alloy for diesel engine valves",
6372117,Bright tin-copper alloy electroplating solution,
6372115,Process for anodizing Si-based aluminum alloy,
6372104,Cobalt base alloy sputtering target with high magnetic field penetration,
6372059,Hydrogen storage alloy and method for preparation thereof,
6372058,"Semi-tension mask of low-expansion Fe-Ni alloy, and color picture tube using the mask",
6372057,Steel alloy railway wheels,
6371361,"Soldering alloy, cream solder and soldering method",
6371261,Molybdenum alloy elevator safety brakes,
6371165,Dynamic alloy wire valve for a multimedia linked scent delivery system,
6371030,Training projectile using shape memory alloy members,
6369347,Aluminum alloy sheet for spot welding,
6368429,Method of manufacturing zirconium alloy tubes,
6368377,Tungsten carbide nickel-chromium alloy hard member and tools using the same,
6368376,Process for making oxide dispersion-strengthened tungsten heavy alloy by mechanical alloying,
6367683,Solder braze alloy,
6367253,Shape memory alloy actuators for aircraft landing gear,
6367250,Shape memory alloy actuator,
6365097,Solder alloy,
6364970,Diecasting alloy,
6364969,6XXX series aluminium alloy,
6364496,Shape memory alloy rearview mirror,
6362526,Alloy barrier layers for semiconductors,
6361882,High-strength aluminum alloy clad material for heat exchangers exhibiting excellent corrosion resistance,
6361877,Thermal spray material comprising Al-Si alloy powder and a structure having a coating of the same,
6361742,Solder alloy composition,
6361741,Brazeable 6XXX alloy with B-rated or better machinability,
6361626,Solder alloy and soldered bond,
6359384,Organic electroluminescent device with electron injecting electrode containing ALLi alloy,
6358840,Forming and filling a recess in interconnect with alloy to minimize electromigration,
6358647,"Hydrogen absorbing alloy electrode, method of fabricating hydrogen absorbing alloy electrode, and alkali secondary battery",
6358628,Slide member made of an aluminum alloy,
6358380,Production of binary shape-memory alloy films by sputtering using a hot pressed target,
6358338,"Process for manufacturing strip made of an iron-carbon-manganese alloy, and strip thus produced",
6358336,Heat resistance Cr-Mo alloy steel,
6355857,Metal alloy treatment process for radioactive waste,
6355558,"Metallization structure, and associated method, to improve crystallographic texture and cavity fill for CVD aluminum/PVD aluminum alloy films",
6355380,Solid polymer alloy electrolyte in homogeneous state and having a monolayered structure,
6355361,Fe group-based amorphous alloy ribbon and magnetic marker,
6355212,Alloy for corrosion-resistant coatings or surface coatings,
6355119,Heat treatment method for producing boundary-layer hardened long products and flat products of unalloyed or low-alloy steel,
6355090,Method of manufacturing aluminum alloy for flattening material and aluminum alloy flattening material for automobiles,
6355089,Process for the manufacture of carbon or low-alloy steel with improved machinability,
6354825,Helical blade fluid compressor having an aluminum alloy rotating member,
6354566,Live loaded valve stem packing with shape memory alloy option,
6354358,Continuous casting mold with tungsten alloy plating and method of producing the same,
6354001,Method of manufacturing a Ti alloy poppet value,
6352671,Aluminum alloy,
6352598,Rare-earth alloy powder pressing apparatus and rare-earth alloy powder pressing method,
6352597,Method for producing a magnetic alloy powder,
6352099,Aluminum alloy die casting method,
"RE37,562",Turbine system having more failure resistant rotors and repair welding of low alloy ferrous turbine components by controlled weld build-up,
6350532,Aluminum alloy composition and method of manufacture,
6350408,Alloy of AuZn AuCu or ZnCu,
6350324,Soft magnetic alloy,
6350323,High permeability metal glassy alloy for high frequencies,
6348431,Method for low temperature preparation of a noble metal alloy,
6348114,Copper alloy and sliding bearing having improved seizure resistance,
6348111,Method for producing Fe--Ni alloy,
6348079,Sintered alloy having a wear resistance for a valve seat and method of producing the same,
6347860,Printer head using shape memory alloy and method for manufacturing the same,
6344295,Zinc alloy powder for use in rechargeable cells,
6344171,Copper alloy for electrical or electronic parts,
6344170,"Ti(C,N)-(Ti,Ta,W)(C,N)-Co alloy for general finishing cutting tool applications",
6344168,"Method of producing R-Fe-B type sintered magnet, method of preparing alloy powder material for R-Fe-B type sintered magnet, and method of preserving the same",
6344124,Method and apparatus for electroplating alloy films,
6344123,Method and apparatus for electroplating alloy films,
6344096,Method of producing aluminum alloy sheet for automotive applications,
6343849,Microactuator for ink jet printer head using a shape memory alloy and manufacturing method thereof,
6342318,Hydrogen absorbing alloy electrode and process for producing same,
6342182,Nickel-free grey gold alloy,
6342181,Corrosion resistant nickel-based alloy,
6342146,Lead-free alloy plating method,
6342113,Aluminum-magnesium alloy plate or extrusion,
6342112,A1-mg based alloy sheets with good press formability,
6342102,Apparatus and method for increasing the diameter of metal alloy wires within a molten metal pool,
6340536,"Zirconium and niobium alloy comprising erbium, preparation method and component containing said alloy",
6340446,Nickel-free white copper alloy,
6340445,"Ti(C,N)-(Ti,Ta,W)(C,N)-Co alloy for superfinishing cutting tool applications",
6340377,High-temperature wear-resistant sintered alloy,
6339123,Heterophasic polyolefin alloy,
6338916,"Hydrogen absorbing alloy, method of manufacturing hydrogen absorbing alloy and alkali secondary battery",
6338764,Hydrogen-absorbing alloy and hydrogen-absorbing alloy electrode,
6338761,Iron-based permanent magnets and their fabrication as well as iron-based permanent magnet alloy powders for permanent bonded magnets and iron-based bonded magnets,
6338227,Light alloy frame profile system for doors and windows,
6337136,Aluminum alloy support for lithographic printing plate and process for producing substrate for support,
6336979,"Wear resistant copper base alloy, method of preparing the same and electrical part using the same",
6334916,A1-Mg-Si based alloy sheet,
6334915,Copper alloy sheet for electronic parts,
6334914,Copper alloy sliding material,
6334913,Corrosion-resistant titanium alloy,
6334911,"High-strength, high-ductility aluminum alloy",
6334908,Sm-Fe-N alloy powder and process for the production thereof,
6334478,Mold structure for injection molding of a light alloy and method of injection molding a light alloy using the same,
6332935,Processing of titanium-alloy billet for improved ultrasonic inspectability,
6332908,Method for modifying surface of hydrogen storage alloy for NI/MH secondary battery using flake type metal,
6332907,Alloy for producing metal foamed bodies using a powder with nucleating additives,
6332906,Aluminum-silicon alloy formed from a metal powder,
6331486,Method and structure for reduction of contact resistance of metal silicides using a metal-germanium alloy,
6331367,Alkaline storage battery hydrogen-absorbing alloy electrode and method for producing the same,
6331338,"Amorphous alloy of light rare earth-transition metal and semi-metal, magneto-optical recording layer made of the alloy, and magneto-optical disk adopting the layer",
6331240,Tin-indium alloy electroplating solution,
6331218,High strength and high rigidity aluminum-based alloy and production method therefor,
"D451,876",Light alloy wheel/rim,
6329100,Hydrogen absorbing alloy electrode and process for producing same,
6329079,Lined alloy tubing and process for manufacturing the same,
6329075,Electrical conductivity and high strength aluminum alloy composite material and methods of manufacturing and use,
6328827,Method of manufacturing sheets made of alloy 718 for the superplastic forming of parts therefrom,
6328825,Alloy used for production of a rare-earth magnet and method for producing the same,
6328823,Aluminum sliding bearing alloy,
6328822,"Functionally graded alloy, use thereof and method for producing same",
6328784,Method of desulfurizing molten iron alloy,
6328530,MG alloy member and its use,
6326707,Shape memory alloy actuator,
6326063,Method of production of self-fusing alloy spray coating member,
6325966,Zirconium alloy having high corrosion resistance and high strength,
6325964,Method of manufacturing high-density titanium alloy article,
6325869,Aluminum alloy extrusions having a substantially unrecrystallized structure,
6325868,Nickel-based amorphous alloy compositions,
6325838,"TI(C, N)--(TI, TA, W) (C, N)--CO alloy for toughness demanding cutting tool applications",
6325805,Shape memory alloy staple,
6325766,Guidewire having substantially nickel-free high-nitrogen austenitic stainless steel alloy,
6325279,Solder alloy of electrode for joining electronic parts and soldering method,
6325136,Bismuth and bismuth alloy fishing sinker,
6322926,"Hydrogen absorbing alloy powder, process for producing same, and alkaline secondary battery",
6322857,Process for coating a workpiece with a nickel base alloy in powder wire form,
6322643,"Columnar crystalline Ni-base heat-resistant alloy having high resistance to intergranular corrosion at high temperature, method of producing the alloy, large-size article, and method of producing large-size article from the alloy",
6322637,Thin ribbon of rare earth-based permanent magnet alloy,
6321691,Oxidation resistant low alloy attachments for boiler components,
6320375,Method for detection of rare earth metal oxide inclusions in titanium and other non-magnetic or metal alloy castings,
6320138,Substrate with conductor formed of low-resistance aluminum alloy,
6319608,Titanium chromium alloy coated diamond crystals for use in saw blade segments and method for their production,
6319461,Lead-free solder alloy,
6319387,Copper alloy electroplating bath for microelectronic applications,
6319351,Adhesive bonding process for aluminium and/or aluminium alloy,
6319340,Ti-V-A1 based superelasticity alloy and process for preparation thereof,
6319336,Permanent magnet alloy having improved heat resistance and process for production thereof,
6319335,Quenched thin ribbon of rare earth/iron/boron-based magnet alloy,
6318641,Shape memory alloy fuel injector small package integral design,
